No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,551,349,319,1219
2,Kota Palopo,121,3,0,124
3,Kota Parepare,73,16,1,90
4,Kabupaten Bantaeng,115,3,0,118
5,Kabupaten Barru,62,3,0,65
6,Kabupaten Bone,284,9,1,294
7,Kabupaten Bulukumba,197,24,3,224
8,Kabupaten Enrekang,159,11,3,173
9,Kabupaten Gowa,242,127,29,398
10,Kabupaten Jeneponto,259,16,1,276
11,Kabupaten Kepulauan Selayar,65,4,0,69
12,Kabupaten Luwu,58,3,2,63
13,Kabupaten Luwu Timur,355,20,1,376
14,Kabupaten Luwu Utara,141,14,1,156
15,Kabupaten Maros,140,19,26,185
16,Kabupaten Pangkajene Dan Kepulauan,78,10,3,91
17,Kabupaten Pinrang,92,11,5,108
18,Kabupaten Sidenreng Rappang,76,29,17,122
19,Kabupaten Sinjai,183,12,0,195
20,Kabupaten Soppeng,60,12,1,73
21,Kabupaten Takalar,38,7,3,48
22,Kabupaten Tana Toraja,136,3,3,142
23,Kabupaten Toraja Utara,77,0,0,77
24,Kabupaten Wajo,55,3,1,59
-,Jumlah Sulsel,3617,708,420,4745
