No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,1895,1206,2078,5179
2,Kota Palopo,165,14,2,181
3,Kota Parepare,120,75,58,253
4,Kabupaten Bantaeng,165,3,0,168
5,Kabupaten Barru,70,9,3,82
6,Kabupaten Bone,321,22,6,349
7,Kabupaten Bulukumba,328,43,36,407
8,Kabupaten Enrekang,261,21,12,294
9,Kabupaten Gowa,539,288,305,1132
10,Kabupaten Jeneponto,492,35,7,534
11,Kabupaten Kepulauan Selayar,82,6,3,91
12,Kabupaten Luwu,201,3,7,211
13,Kabupaten Luwu Timur,523,89,430,1042
14,Kabupaten Luwu Utara,249,40,1,290
15,Kabupaten Maros,265,71,85,421
16,Kabupaten Pangkajene Dan Kepulauan,128,39,18,185
17,Kabupaten Pinrang,419,25,12,456
18,Kabupaten Sidenreng Rappang,84,45,30,159
19,Kabupaten Sinjai,249,19,17,285
20,Kabupaten Soppeng,72,36,9,117
21,Kabupaten Takalar,59,34,30,123
22,Kabupaten Tana Toraja,222,10,6,238
23,Kabupaten Toraja Utara,161,3,2,166
24,Kabupaten Wajo,67,21,9,97
25,Rekreasi Duta Covid19 SulSel,8,0,568,576
26,RS Lain-lain,0,0,178,178
-,Jumlah Sulsel,7145,2157,3912,13214
