No,Kota/Kab,ODP,PDP,Positif,Total
1,Kota Makassar,3037,1441,7164,11642
2,Kota Palopo,179,14,94,287
3,Kota Parepare,168,109,162,439
4,Kabupaten Bantaeng,171,3,97,271
5,Kabupaten Barru,72,10,39,121
6,Kabupaten Bone,322,22,88,432
7,Kabupaten Bulukumba,389,54,224,667
8,Kabupaten Enrekang,321,23,73,417
9,Kabupaten Gowa,565,324,1147,2036
10,Kabupaten Jeneponto,530,38,164,732
11,Kabupaten Kepulauan Selayar,84,7,69,160
12,Kabupaten Luwu,239,3,42,284
13,Kabupaten Luwu Timur,446,87,985,1518
14,Kabupaten Luwu Utara,278,40,103,421
15,Kabupaten Maros,278,78,404,760
16,Kabupaten Pangkajene Dan Kepulauan,173,68,115,356
17,Kabupaten Pinrang,570,32,48,650
18,Kabupaten Sidenreng Rappang,119,54,124,297
19,Kabupaten Sinjai,278,23,286,587
20,Kabupaten Soppeng,82,40,177,299
21,Kabupaten Takalar,126,33,248,407
22,Kabupaten Tana Toraja,249,13,77,339
23,Kabupaten Toraja Utara,178,6,16,200
24,Kabupaten Wajo,74,25,88,187
25,Rekreasi Duta Covid19 SulSel,8,0,885,893
26,RS Lain-lain,0,0,424,424
-,Jumlah Sulsel,8936,2547,13343,24826
